Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.4038081473045120957113165234,0.403808147304512,0.403808147304512,0.403808147304512,0.403808147304512,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,816581.4
0.02,0,0.4445151830614415274085152631,0.444515183061442,0.444515183061442,0.444515183061442,0.444515183061442,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,1633163
0.03,0,0.4498708745401747154462408987,0.449870874540175,0.449870874540175,0.449870874540175,0.449870874540175,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,2449744
0.04,0,0.4488914225077822047250887612,0.448891422507782,0.448891422507782,0.448891422507782,0.448891422507782,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,3266326
0.05,0,0.4462766396096195572124458405,0.44627663960962,0.44627663960962,0.44627663960962,0.44627663960962,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,4082908
0.06,0,0.4432621902100705686221531135,0.443262190210071,0.443262190210071,0.443262190210071,0.443262190210071,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,4899488
0.07,0,0.4402463278205614584191040458,0.440246327820562,0.440246327820562,0.440246327820562,0.440246327820562,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,5716070
0.08,0,0.4373661915800827139438211882,0.437366191580083,0.437366191580083,0.437366191580083,0.437366191580083,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,6532652
0.09,0,0.4346650077275017612713438582,0.434665007727502,0.434665007727502,0.434665007727502,0.434665007727502,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,7349234
0.10,0,0.4321497262152947315419754012,0.432149726215295,0.432149726215295,0.432149726215295,0.432149726215295,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,8165815
0.11,0,0.4298129722380812569273846476,0.429812972238081,0.429812972238081,0.429812972238081,0.429812972238081,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,8982396
0.12,0,0.4276423032359928791767161032,0.427642303235993,0.427642303235993,0.427642303235993,0.427642303235993,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,9798977
0.13,0,0.4256239316471772927472981577,0.425623931647177,0.425623931647177,0.425623931647177,0.425623931647177,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,10615560
0.14,0,0.4237444617129347691507311387,0.423744461712935,0.423744461712935,0.423744461712935,0.423744461712935,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,11432140
0.15,0,0.4219915051088972036199558519,0.421991505108897,0.421991505108897,0.421991505108897,0.421991505108897,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,12248720
0.16,0,0.4203538948555188145967586201,0.420353894855519,0.420353894855519,0.420353894855519,0.420353894855519,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,13065300
0.17,0,0.4188216911300411919694924470,0.418821691130041,0.418821691130041,0.418821691130041,0.418821691130041,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,13881880
0.18,0,0.4173860806770013088616287445,0.417386080677001,0.417386080677001,0.417386080677001,0.417386080677001,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,14698470
0.19,0,0.4160393395204260866778642941,0.416039339520426,0.416039339520426,0.416039339520426,0.416039339520426,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,15515050
0.20,0,0.4147745798653417465756608838,0.414774579865342,0.414774579865342,0.414774579865342,0.414774579865342,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,16331630
0.21,0,0.4135857657499561647340867023,0.413585765749956,0.413585765749956,0.413585765749956,0.413585765749956,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,17148210
0.22,0,0.4124675520987664209817695372,0.412467552098766,0.412467552098766,0.412467552098766,0.412467552098766,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,17964790
0.23,0,0.4114151954465548864505343567,0.411415195446555,0.411415195446555,0.411415195446555,0.411415195446555,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,18781370
0.24,0,0.4104244962806080950580099765,0.410424496280608,0.410424496280608,0.410424496280608,0.410424496280608,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,19597950
0.25,0,0.4094917185049538134663847913,0.409491718504954,0.409491718504954,0.409491718504954,0.409491718504954,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,20414540
0.26,0,0.4087015858677965636084983935,0.408701585867797,0.408701585867797,0.408701585867797,0.408701585867797,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,21231120
0.27,0,0.4079630907971117468229614303,0.407963090797112,0.407963090797112,0.407963090797112,0.407963090797112,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,22047700
0.28,0,0.4072736444080938741535833756,0.407273644408094,0.407273644408094,0.407273644408094,0.407273644408094,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,22864280
0.29,0,0.4066308141879965435760018886,0.406630814187997,0.406630814187997,0.406630814187997,0.406630814187997,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,23680860
0.30,0,0.4060325581611260087825720951,0.406032558161126,0.406032558161126,0.406032558161126,0.406032558161126,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,24497440
0.31,0,0.4054769530246871257704640757,0.405476953024687,0.405476953024687,0.405476953024687,0.405476953024687,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,25314030
0.32,0,0.4049623876447051433261987954,0.404962387644705,0.404962387644705,0.404962387644705,0.404962387644705,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,26130610
0.33,0,0.4044873430527824061206732559,0.404487343052782,0.404487343052782,0.404487343052782,0.404487343052782,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,26947190
0.34,0,0.4040505324672941976856188402,0.404050532467294,0.404050532467294,0.404050532467294,0.404050532467294,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,27763770
0.35,0,0.4036507607389386168232740523,0.403650760738939,0.403650760738939,0.403650760738939,0.403650760738939,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,28580350
0.36,0,0.4032870344183505896844160257,0.403287034418351,0.403287034418351,0.403287034418351,0.403287034418351,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,29396930
0.37,0,0.4029584559581177398374042523,0.402958455958118,0.402958455958118,0.402958455958118,0.402958455958118,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,30213510
0.38,0,0.4026642582420856609662716937,0.402664258242086,0.402664258242086,0.402664258242086,0.402664258242086,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,31030100
0.39,0,0.4024037862912119011810583636,0.402403786291212,0.402403786291212,0.402403786291212,0.402403786291212,0,0,0,0,11.499180178175729,105.3676620386295361600468236,105.3676620386295361600468236,31846680
