Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3514279459360133210896646647,0.351427945936013,0.351427945936013,0.351427945936013,0.351427945936013,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,686402.2
0.02,0,0.3958259993401583392626108407,0.395825999340158,0.395825999340158,0.395825999340158,0.395825999340158,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,1372804
0.03,0,0.4038605243546028197577056646,0.403860524354603,0.403860524354603,0.403860524354603,0.403860524354603,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,2059206
0.04,0,0.4047956807835484864735447527,0.404795680783548,0.404795680783548,0.404795680783548,0.404795680783548,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,2745609
0.05,0,0.4036452867591258226474050031,0.403645286759126,0.403645286759126,0.403645286759126,0.403645286759126,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,3432011
0.06,0,0.4018060305205486785938711598,0.401806030520549,0.401806030520549,0.401806030520549,0.401806030520549,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,4118413
0.07,0,0.3997659572264551581219125100,0.399765957226455,0.399765957226455,0.399765957226455,0.399765957226455,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,4804816
0.08,0,0.3977166438537062775155708033,0.397716643853706,0.397716643853706,0.397716643853706,0.397716643853706,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,5491218
0.09,0,0.3957365721747352305634907526,0.395736572174735,0.395736572174735,0.395736572174735,0.395736572174735,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,6177620
0.10,0,0.3938567292001436169344598132,0.393856729200144,0.393856729200144,0.393856729200144,0.393856729200144,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,6864022
0.11,0,0.3920868173976097167268488888,0.39208681739761,0.39208681739761,0.39208681739761,0.39208681739761,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,7550424
0.12,0,0.3904269280201463414903641414,0.390426928020146,0.390426928020146,0.390426928020146,0.390426928020146,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,8236826
0.13,0,0.3888727341389713440789110576,0.388872734138971,0.388872734138971,0.388872734138971,0.388872734138971,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,8923228
0.14,0,0.3874181237575390603860092757,0.387418123757539,0.387418123757539,0.387418123757539,0.387418123757539,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,9609631
0.15,0,0.3860564716699961202506856663,0.386056471669996,0.386056471669996,0.386056471669996,0.386056471669996,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,10296030
0.16,0,0.3847811774999073554690785134,0.384781177499907,0.384781177499907,0.384781177499907,0.384781177499907,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,10982440
0.17,0,0.3835860776931341549210058106,0.383586077693134,0.383586077693134,0.383586077693134,0.383586077693134,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,11668840
0.18,0,0.3824654279673884527853443687,0.382465427967388,0.382465427967388,0.382465427967388,0.382465427967388,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,12355240
0.19,0,0.3814140209118696770147556631,0.38141402091187,0.38141402091187,0.38141402091187,0.38141402091187,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,13041640
0.20,0,0.3804271352876377999915554587,0.380427135287638,0.380427135287638,0.380427135287638,0.380427135287638,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,13728040
0.21,0,0.3795005401223172347380891738,0.379500540122317,0.379500540122317,0.379500540122317,0.379500540122317,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,14414450
0.22,0,0.3786304779943412242979545511,0.378630477994341,0.378630477994341,0.378630477994341,0.378630477994341,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,15100850
0.23,0,0.3778135294768830877935930148,0.377813529476883,0.377813529476883,0.377813529476883,0.377813529476883,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,15787250
0.24,0,0.3770466569592310495487507242,0.377046656959231,0.377046656959231,0.377046656959231,0.377046656959231,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,16473650
0.25,0,0.3763271513697887809352905451,0.376327151369789,0.376327151369789,0.376327151369789,0.376327151369789,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,17160050
0.26,0,0.3757405856032836360145284054,0.375740585603284,0.375740585603284,0.375740585603284,0.375740585603284,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,17846460
0.27,0,0.3751967756296883007451358005,0.375196775629688,0.375196775629688,0.375196775629688,0.375196775629688,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,18532860
0.28,0,0.3746938142494482714854553320,0.374693814249448,0.374693814249448,0.374693814249448,0.374693814249448,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,19219260
0.29,0,0.3742298872004587985420860959,0.374229887200459,0.374229887200459,0.374229887200459,0.374229887200459,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,19905660
0.30,0,0.3738034942083771969289555119,0.373803494208377,0.373803494208377,0.373803494208377,0.373803494208377,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,20592070
0.31,0,0.3734132403428781320763289792,0.373413240342878,0.373413240342878,0.373413240342878,0.373413240342878,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,21278470
0.32,0,0.3730579276455441131703637443,0.373057927645544,0.373057927645544,0.373057927645544,0.373057927645544,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,21964870
0.33,0,0.3727364514024157558839416867,0.372736451402416,0.372736451402416,0.372736451402416,0.372736451402416,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,22651270
0.34,0,0.3724478901317875887391043028,0.372447890131788,0.372447890131788,0.372447890131788,0.372447890131788,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,23337670
0.35,0,0.3721913715096904459651848219,0.37219137150969,0.37219137150969,0.37219137150969,0.37219137150969,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,24024080
0.36,0,0.3719662233500580461679438951,0.371966223350058,0.371966223350058,0.371966223350058,0.371966223350058,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,24710480
0.37,0,0.3717718151617775174166177026,0.371771815161778,0.371771815161778,0.371771815161778,0.371771815161778,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,25396880
0.38,0,0.3716076418078998326442762751,0.3716076418079,0.3716076418079,0.3716076418079,0.3716076418079,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,26083280
0.39,0,0.3714732634024403893654640665,0.37147326340244,0.37147326340244,0.37147326340244,0.37147326340244,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,26769680
0.40,0,0.3713683750025733301290963000,0.371368375002573,0.371368375002573,0.371368375002573,0.371368375002573,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,27456090
0.41,0,0.3712927294771249473862634551,0.371292729477125,0.371292729477125,0.371292729477125,0.371292729477125,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,28142490
0.42,0,0.3712461779524190755162698820,0.371246177952419,0.371246177952419,0.371246177952419,0.371246177952419,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,28828890
0.43,0,0.3712286042064754477739524365,0.371228604206475,0.371228604206475,0.371228604206475,0.371228604206475,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,29515290
0.44,0,0.3712400491468748763791492498,0.371240049146875,0.371240049146875,0.371240049146875,0.371240049146875,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,30201700
0.45,0,0.3712805724417842264251532300,0.371280572441784,0.371280572441784,0.371280572441784,0.371280572441784,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,30888100
0.46,0,0.3713503794709860280932533151,0.371350379470986,0.371350379470986,0.371350379470986,0.371350379470986,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,31574500
0.47,0,0.3714496539797154108872885003,0.371449653979715,0.371449653979715,0.371449653979715,0.371449653979715,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,32260900
0.48,0,0.3715787639210774385873732833,0.371578763921078,0.371578763921078,0.371578763921078,0.371578763921078,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,32947300
0.49,0,0.3717381188156660242540221420,0.371738118815666,0.371738118815666,0.371738118815666,0.371738118815666,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,33633710
0.50,0,0.3719282093989990576960831224,0.371928209398999,0.371928209398999,0.371928209398999,0.371928209398999,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,34320110
0.51,0,0.3721496327452610270735606551,0.372149632745261,0.372149632745261,0.372149632745261,0.372149632745261,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,35006510
0.52,0,0.3724030727210713621106601268,0.372403072721071,0.372403072721071,0.372403072721071,0.372403072721071,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,35692910
0.53,0,0.3726893297655511163026506697,0.372689329765551,0.372689329765551,0.372689329765551,0.372689329765551,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,36379320
0.54,0,0.3730092792006921304013126628,0.373009279200692,0.373009279200692,0.373009279200692,0.373009279200692,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,37065720
0.55,0,0.3733639681704666175139355612,0.373363968170467,0.373363968170467,0.373363968170467,0.373363968170467,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,37752120
0.56,0,0.3737544944395303377305557488,0.37375449443953,0.37375449443953,0.37375449443953,0.37375449443953,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,38438520
0.57,0,0.3741821630606304347122434921,0.37418216306063,0.37418216306063,0.37418216306063,0.37418216306063,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,39124920
0.58,0,0.3746483562837950954611133041,0.374648356283795,0.374648356283795,0.374648356283795,0.374648356283795,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,39811330
0.59,0,0.3751546876574425489400376835,0.375154687657443,0.375154687657443,0.375154687657443,0.375154687657443,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,40497730
0.60,0,0.3757028653183240616572494089,0.375702865318324,0.375702865318324,0.375702865318324,0.375702865318324,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,41184130
0.61,0,0.3764541939312555984436785029,0.376454193931256,0.376454193931256,0.376454193931256,0.376454193931256,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,41870540
0.62,0,0.3772457606241072300552658937,0.377245760624107,0.377245760624107,0.377245760624107,0.377245760624107,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,42556940
0.63,0,0.3780856876528523552266216666,0.378085687652852,0.378085687652852,0.378085687652852,0.378085687652852,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,43243340
0.64,0,0.3789766273117448944914429350,0.378976627311745,0.378976627311745,0.378976627311745,0.378976627311745,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,43929740
0.65,0,0.3799215389849729563438429195,0.379921538984973,0.379921538984973,0.379921538984973,0.379921538984973,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,44616140
0.66,0,0.3809236821424505596605696774,0.380923682142451,0.380923682142451,0.380923682142451,0.380923682142451,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,45302550
0.67,0,0.3819867140823306036080948802,0.381986714082331,0.381986714082331,0.381986714082331,0.381986714082331,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,45988950
0.68,0,0.3831147597308529876886422124,0.383114759730853,0.383114759730853,0.383114759730853,0.383114759730853,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,46675350
0.69,0,0.3843123300484599165711112537,0.38431233004846,0.38431233004846,0.38431233004846,0.38431233004846,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,47361750
0.70,0,0.3855846365320590137418137779,0.385584636532059,0.385584636532059,0.385584636532059,0.385584636532059,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,48048150
0.71,0,0.3851979870596292634057358016,0.385197987059629,0.385197987059629,0.385197987059629,0.385197987059629,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,48734560
0.72,0,0.3847091021745496436016200660,0.38470910217455,0.38470910217455,0.38470910217455,0.38470910217455,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,49420960
0.73,0,0.3842247492681655436093253884,0.384224749268166,0.384224749268166,0.384224749268166,0.384224749268166,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,50107360
0.74,0,0.3837447475978470264481976128,0.383744747597847,0.383744747597847,0.383744747597847,0.383744747597847,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,50793760
0.75,0,0.3832689834274546101228688395,0.383268983427455,0.383268983427455,0.383268983427455,0.383268983427455,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,51480160
0.76,0,0.3827973660044911982269866673,0.382797366004491,0.382797366004491,0.382797366004491,0.382797366004491,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,52166570
0.77,0,0.3823297609410454093471421539,0.382329760941045,0.382329760941045,0.382329760941045,0.382329760941045,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,52852970
0.78,0,0.3818660664003898564382972259,0.38186606640039,0.38186606640039,0.38186606640039,0.38186606640039,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,53539370
0.79,0,0.3814061749239578806052845847,0.381406174923958,0.381406174923958,0.381406174923958,0.381406174923958,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,54225780
0.80,0,0.3809499942460152445515280270,0.380949994246015,0.380949994246015,0.380949994246015,0.380949994246015,0,0,0,0,11.499180178175729,87.19410437940850161916142146,87.19410437940850161916142146,54912180
