Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3944570694563628460216599863,0.394457069456363,0.394457069456363,0.394457069456363,0.394457069456363,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,778119.2
0.02,0,0.4358455169910192339564687724,0.435845516991019,0.435845516991019,0.435845516991019,0.435845516991019,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,1556238
0.03,0,0.4419341547115375921613570315,0.441934154711538,0.441934154711538,0.441934154711538,0.441934154711538,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,2334358
0.04,0,0.4415307061907052560712834855,0.441530706190705,0.441530706190705,0.441530706190705,0.441530706190705,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,3112477
0.05,0,0.4393773012653090165606616598,0.439377301265309,0.439377301265309,0.439377301265309,0.439377301265309,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,3890596
0.06,0,0.4367435557845662128381983863,0.436743555784566,0.436743555784566,0.436743555784566,0.436743555784566,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,4668715
0.07,0,0.4340497902877270836346120487,0.434049790287727,0.434049790287727,0.434049790287727,0.434049790287727,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,5446834
0.08,0,0.4314476396551643170954430823,0.431447639655164,0.431447639655164,0.431447639655164,0.431447639655164,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,6224954
0.09,0,0.4289902294467906321120773599,0.428990229446791,0.428990229446791,0.428990229446791,0.428990229446791,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,7003074
0.10,0,0.4266915091280651356159399103,0.426691509128065,0.426691509128065,0.426691509128065,0.426691509128065,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,7781192
0.11,0,0.4245492032799052412199245972,0.424549203279905,0.424549203279905,0.424549203279905,0.424549203279905,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,8559311
0.12,0,0.4225546997776728700357690135,0.422554699777673,0.422554699777673,0.422554699777673,0.422554699777673,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,9337430
0.13,0,0.4206971499660898351986040285,0.42069714996609,0.42069714996609,0.42069714996609,0.42069714996609,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,10115550
0.14,0,0.4189654461703966921010626414,0.418965446170397,0.418965446170397,0.418965446170397,0.418965446170397,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,10893670
0.15,0,0.4173490376889261887459633400,0.417349037688926,0.417349037688926,0.417349037688926,0.417349037688926,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,11671790
0.16,0,0.4158382363448734613729385806,0.415838236344874,0.415838236344874,0.415838236344874,0.415838236344874,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,12449910
0.17,0,0.4144243134638612317003093200,0.414424313463861,0.414424313463861,0.414424313463861,0.414424313463861,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,13228030
0.18,0,0.4130994780604812026374652506,0.413099478060481,0.413099478060481,0.413099478060481,0.413099478060481,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,14006150
0.19,0,0.4118568255212545988694953402,0.411856825521255,0.411856825521255,0.411856825521255,0.411856825521255,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,14784260
0.20,0,0.4106901625338254464096005046,0.410690162533825,0.410690162533825,0.410690162533825,0.410690162533825,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,15562380
0.21,0,0.4095940766625529781454770538,0.409594076662553,0.409594076662553,0.409594076662553,0.409594076662553,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,16340500
0.22,0,0.4085637426956393354279767169,0.408563742695639,0.408563742695639,0.408563742695639,0.408563742695639,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,17118620
0.23,0,0.4075948667463574450689259373,0.407594866746358,0.407594866746358,0.407594866746358,0.407594866746358,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,17896740
0.24,0,0.4066836405666332242587235549,0.406683640566633,0.406683640566633,0.406683640566633,0.406683640566633,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,18674860
0.25,0,0.4058266840327118103172621364,0.405826684032712,0.405826684032712,0.405826684032712,0.405826684032712,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,19452980
0.26,0,0.4051171543019967608565244937,0.405117154301997,0.405117154301997,0.405117154301997,0.405117154301997,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,20231100
0.27,0,0.4044561481466351148204701822,0.404456148146635,0.404456148146635,0.404456148146635,0.404456148146635,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,21009220
0.28,0,0.4038413291150119389314645693,0.403841329115012,0.403841329115012,0.403841329115012,0.403841329115012,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,21787340
0.29,0,0.4032704783597689414691918868,0.403270478359769,0.403270478359769,0.403270478359769,0.403270478359769,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,22565460
0.30,0,0.4027417240237739954619808881,0.402741724023774,0.402741724023774,0.402741724023774,0.402741724023774,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,23343580
0.31,0,0.4022533596736065269646543382,0.402253359673607,0.402253359673607,0.402253359673607,0.402253359673607,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,24121700
0.32,0,0.4018038800663713149100844852,0.401803880066371,0.401803880066371,0.401803880066371,0.401803880066371,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,24899810
0.33,0,0.4013919384465040610895869895,0.401391938446504,0.401391938446504,0.401391938446504,0.401391938446504,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,25677940
0.34,0,0.4010163448099952167985545714,0.401016344809995,0.401016344809995,0.401016344809995,0.401016344809995,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,26456050
0.35,0,0.4006760587435768140460307048,0.400676058743577,0.400676058743577,0.400676058743577,0.400676058743577,0,0,0,0,14.127820548860529,103.87295309968450756727000996,103.87295309968450756727000996,27234170
