UTCTIME,UNIXTIME,Altitude AGL
Jun 11 2025 18:32:14.799 UTC,1749684735,0.8
Jun 11 2025 18:32:15.000 UTC,1749684735,0.7
Jun 11 2025 18:32:15.199 UTC,1749684735,0.7
Jun 11 2025 18:32:15.399 UTC,1749684735,0.6
Jun 11 2025 18:32:15.499 UTC,1749684735,0.6
Jun 11 2025 18:32:15.599 UTC,1749684736,0.6
Jun 11 2025 18:32:16.000 UTC,1749684736,0.3
Jun 11 2025 18:32:16.199 UTC,1749684736,0.2
Jun 11 2025 18:32:16.399 UTC,1749684736,0.1
Jun 11 2025 18:32:16.499 UTC,1749684736,0
Jun 11 2025 18:32:16.699 UTC,1749684737,-0.1
Jun 11 2025 18:32:16.899 UTC,1749684737,-0.1
Jun 11 2025 18:32:17.000 UTC,1749684737,-0.2
Jun 11 2025 18:32:17.199 UTC,1749684737,-0.3
Jun 11 2025 18:32:17.399 UTC,1749684737,-0.3
Jun 11 2025 18:32:17.499 UTC,1749684737,-0.4
Jun 11 2025 18:32:17.699 UTC,1749684738,-0.5
Jun 11 2025 18:32:17.899 UTC,1749684738,-0.6
Jun 11 2025 18:32:18.000 UTC,1749684738,-0.7
Jun 11 2025 18:32:18.199 UTC,1749684738,-0.7
Jun 11 2025 18:32:18.399 UTC,1749684738,-0.8
Jun 11 2025 18:32:18.499 UTC,1749684738,-0.9
Jun 11 2025 18:32:18.699 UTC,1749684739,-1
Jun 11 2025 18:32:19.000 UTC,1749684739,-1.1
Jun 11 2025 18:32:19.199 UTC,1749684739,-1.2
Jun 11 2025 18:32:19.399 UTC,1749684739,-1.2
Jun 11 2025 18:32:19.499 UTC,1749684739,-1.3
Jun 11 2025 18:32:19.699 UTC,1749684740,-1.4
Jun 11 2025 18:32:19.899 UTC,1749684740,-1.4
Jun 11 2025 18:32:20.000 UTC,1749684740,-1.4
Jun 11 2025 18:32:20.199 UTC,1749684740,-1.4
Jun 11 2025 18:32:20.399 UTC,1749684740,-1.5
Jun 11 2025 18:32:20.499 UTC,1749684740,-1.5
Jun 11 2025 18:32:20.699 UTC,1749684741,-1.6
Jun 11 2025 18:32:20.899 UTC,1749684741,-1.6
Jun 11 2025 18:32:21.000 UTC,1749684741,-1.7
Jun 11 2025 18:32:21.199 UTC,1749684741,-1.8
Jun 11 2025 18:32:21.399 UTC,1749684741,-1.8
Jun 11 2025 18:32:21.599 UTC,1749684742,-1.9
Jun 11 2025 18:32:21.799 UTC,1749684742,2.9
Jun 11 2025 18:32:21.899 UTC,1749684742,7.9
Jun 11 2025 18:32:22.000 UTC,1749684742,17.8
Jun 11 2025 18:32:22.199 UTC,1749684742,62.1
