Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.4048082223572484079519345128,0.404808222357248,0.404808222357248,0.404808222357248,0.404808222357248,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,730781.1
0.02,0,0.4483530753801536987733272123,0.448353075380154,0.448353075380154,0.448353075380154,0.448353075380154,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,1461562
0.03,0,0.4555294935925679345090756853,0.455529493592568,0.455529493592568,0.455529493592568,0.455529493592568,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,2192343
0.04,0,0.4558268910253192245569776996,0.455826891025319,0.455826891025319,0.455826891025319,0.455826891025319,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,2923124
0.05,0,0.4541827270456943036543018129,0.454182727045694,0.454182727045694,0.454182727045694,0.454182727045694,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,3653906
0.06,0,0.4519462880789473563852835710,0.451946288078947,0.451946288078947,0.451946288078947,0.451946288078947,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,4384686
0.07,0,0.4495776266137152312413782989,0.449577626613715,0.449577626613715,0.449577626613715,0.449577626613715,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,5115468
0.08,0,0.4472507990335927728953126801,0.447250799033593,0.447250799033593,0.447250799033593,0.447250799033593,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,5846248
0.09,0,0.4450327930193233947041579417,0.445032793019323,0.445032793019323,0.445032793019323,0.445032793019323,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,6577030
0.10,0,0.4429466345789763341470501466,0.442946634578976,0.442946634578976,0.442946634578976,0.442946634578976,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,7307811
0.11,0,0.4409963572446410693211160127,0.440996357244641,0.440996357244641,0.440996357244641,0.440996357244641,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,8038592
0.12,0,0.4391778232773682776690684763,0.439177823277368,0.439177823277368,0.439177823277368,0.439177823277368,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,8769373
0.13,0,0.4374835638186274342091488095,0.437483563818627,0.437483563818627,0.437483563818627,0.437483563818627,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,9500154
0.14,0,0.4359049936272583520203468957,0.435904993627258,0.435904993627258,0.435904993627258,0.435904993627258,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,10230940
0.15,0,0.4344335384120997082466311702,0.4344335384121,0.4344335384121,0.4344335384121,0.4344335384121,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,10961720
0.16,0,0.4330611163922006639704736908,0.433061116392201,0.433061116392201,0.433061116392201,0.433061116392201,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,11692500
0.17,0,0.4317802254632092086465436428,0.431780225463209,0.431780225463209,0.431780225463209,0.431780225463209,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,12423280
0.18,0,0.4305841409966671477412477931,0.430584140996667,0.430584140996667,0.430584140996667,0.430584140996667,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,13154060
0.19,0,0.4294668002226418624075572424,0.429466800222642,0.429466800222642,0.429466800222642,0.429466800222642,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,13884840
0.20,0,0.4284227958970746570721745673,0.428422795897075,0.428422795897075,0.428422795897075,0.428422795897075,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,14615620
0.21,0,0.4274472982841635445806335387,0.427447298284164,0.427447298284164,0.427447298284164,0.427447298284164,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,15346400
0.22,0,0.4265360350803262248005055165,0.426536035080326,0.426536035080326,0.426536035080326,0.426536035080326,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,16077180
0.23,0,0.4256851795384921957856445563,0.425685179538492,0.425685179538492,0.425685179538492,0.425685179538492,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,16807970
0.24,0,0.4248913559963606372400134707,0.424891355996361,0.424891355996361,0.424891355996361,0.424891355996361,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,17538750
0.25,0,0.4241515441477314309738354733,0.424151544147731,0.424151544147731,0.424151544147731,0.424151544147731,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,18269530
0.26,0,0.4235835213891408158403705745,0.423583521389141,0.423583521389141,0.423583521389141,0.423583521389141,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,19000310
0.27,0,0.4230644566469527572888382199,0.423064456646953,0.423064456646953,0.423064456646953,0.423064456646953,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,19731090
0.28,0,0.4225921922977980283864752338,0.422592192297798,0.422592192297798,0.422592192297798,0.422592192297798,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,20461870
0.29,0,0.4221648912149284557424967185,0.422164891214928,0.422164891214928,0.422164891214928,0.422164891214928,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,21192650
0.30,0,0.4217808721345460614380511266,0.421780872134546,0.421780872134546,0.421780872134546,0.421780872134546,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,21923430
0.31,0,0.4214386681416256279861756981,0.421438668141626,0.421438668141626,0.421438668141626,0.421438668141626,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,22654210
0.32,0,0.4211369878615736343694771902,0.421136987861574,0.421136987861574,0.421136987861574,0.421136987861574,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,23384990
0.33,0,0.4208746890260683120723830340,0.420874689026068,0.420874689026068,0.420874689026068,0.420874689026068,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,24115780
0.34,0,0.4206508442120726965024259260,0.420650844212073,0.420650844212073,0.420650844212073,0.420650844212073,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,24846560
0.35,0,0.4204645673994698920430657392,0.42046456739947,0.42046456739947,0.42046456739947,0.42046456739947,0,0,0,0,7.540755973902917,80.85154841981821030878482305,80.85154841981821030878482305,25577340
